index,real_sentence,fake_sentence
4868,"Keen walkers enjoy this tip of the island, but for many it is a little too invigorating for comfort.","Keen walkers enjoy this tip of the island, but for few it is a big too invigorating for comfort."
4869,The house they sought was some way down.,The house they sought was some way down.
4870,and to keep abreast of the knowledge out there we got to constantly read go to school uh TV watching has sure hasn't gone too much out the door because TV is still well the cable system and the satellite dishes has made it to where a lot of people can just leave regular TV programming and watch a lot of other a variety of programs out there as well as use of the VCR,and to keep abreast of the knowledge out there we got to constantly read go to school uh TV watching has sure hasn't gone too little out the door because TV is still well the cable system and the satellite dishes has made it to where a lot of people can just leave constipated TV programming and watch a lot of same a variety of programs out there as well as use of the VCR
4871,We had no choice but to attack.,We had no choice but to attack.
4872,"With great effort, I hauled him up onto my back.","With great effort, I hauled him up onto my back."
4873,The cooking is good and filling and the hosts are friendly (he's from Chicago).,The cooking is bad and filling and the hosts are hostile( he's from Chicago).
4874,Close to 80 individuals serve on the committees.,Close to 80 individuals serve on the committees.
4875,And we stayed in bed.,And we stayed in bed.
4876,They are in the Reform Party.,They are in the Reform Party.
4877,huh well maybe some day you'll own your parents' homes,huh well maybe some day you'll own your parents' homes
4878,"But if you are here simply to have fun, you might not even notice.","But if you are here simply to have fun, you might not even notice."
4879,i went there to to visit the Underground when that was you know the Underground City,i went there to to visit the Underground when that was you know the Underground City
4880,The monetary wealth and vast tracts of land owned by the monasteries were redistributed according to Henry's favor.,The monetary wealth and vast tracts of land owned by the monasteries were redistributed according to Henry's favor.
4881,okay i'm in Garland,okay i'm in Garland
4882,The final analysis points out that the expedited application/notice procedures and the removal of unnecessary and outmoded regulatory restriction will be particularly helpful to small bank holding companies.,The final analysis points out that the expedited application/notice procedures and the removal of necessary and outmoded regulatory restriction will be particularly unhelpful to big bank holding companies.
4883,they have uh twenty seven computers for each of the little labs and each lab serves uh two grades so the first and second graders have their own batch of computers that they've cycled the kids through and,they have uh twenty seven computers for each of the big labs and each lab serves uh two grades so the last and first graders have their own batch of computers that they've cycled the kids through and
